ringer,tr,ring,,bird,birdid,recap,day,month,year,season,location,resight,logger,type,harness,span,age,sex,fat,pec,wing,tail,mass1,mass2,hr,min,moult,bodymoult,headmoult,billlength,narestotip,billheight,billwidth,medcovs,greatercovs,maxtar,mintar,mouth,featherwear,capmethod
EMB,N,none,,BxWNY,125,1,6,3,2013,2,1,Y,2,,,37,1,1,0,1,80,,16.5,17,6,45,O,2,2,,,,,,,25.8,23.3,,M,N
EMB,N,AP87505,,RBxNYm,125,2,29,10,2013,3,1,,,,,,1,1,0,2,81,M,16.4,17.1,6,15,O,,,,,,,,,26.4,23.9,pale,L,N
ALICE,R,,,RBxNYm,125,2,22,3,2014,3,1,,,,,,1,1,2,2,80,,18,,7,0,,,,,,,,,,25.9,23.8,,,
EMB,N,none,,OxYBO,126,1,6,3,2013,2,1,Y,4,,,33,1,2,0,1,77,,15.3,15.9,7,0,O,,,,,,,,,24.1,22.5,,L,N
EMB,N,none,,YxBOB,127,1,6,3,2013,2,1,Y,6,,,35,1,1,0,1,78,,16.9,17.5,7,45,O,2,2,,,,,,,25.3,21.7,,M,N
EMB,N,AP87516,,YmxRB,127,2,31,10,2013,3,1,,,,,,1,1,0,1,79,M,16.1,16.7,8,45,O,,,,,,,,,24.8,21.8,black,L,T
EMB,N,none,,LxLNY,128,1,6,3,2013,2,1,Y,3,,,35.5,2,1,0,1,80.5,,15.9,16.4,8,0,O,3,2,,,,,,,24.7,22.4,,M,N
EMB,N,none,,OxNCN,129,1,7,3,2013,2,1,Y,42,,,35,1,1,0,2,79,,16,16.4,6,30,O,,,,,,,,,23.3,20.1,,L,N
EMB,N,AP87512,,OmxRN,129,2,30,10,2013,3,1,,,,,,1,1,0,1,80,M,15,15.7,7,30,O,,,,,,,,,23.5,21.2,black,L,T
EMB,R,AP87512,,OmxBRN,129,2,7,2,2014,3,1,Y,135,SHORT,ELASTIC,34,1,1,0,1,80,M,14.8,15.2,7,0,O,0,,,,,,,,,,BLACK,L,N
EMB,N,none,,LxWNC,130,1,7,3,2013,2,1,Y,11,,,35,2,2,0,2,79,,15.3,15.7,6,45,O,2,1,,,,,,,25,22.9,,H,N
