Central,TR,RINGNO,species,age,sex,fat,pec,wing,mass,hr,min,day,month,year,location,INITIAL,BP,moult,BODYMOULT,HEADMOULT,CRINGED,NOTES
SAF,N,AP63090,WHINC,4,M,0,1,80,15.4,08,30,04,11,2009,ACESB,DTC,0,O,,,,
SAF,N,AP63194,WHINC,5,F,0,1,78,14.9,07,15,12,03,2010,ACESB,DTC,0,M,2,2,,
SAF,N,AP63283,WHINC,4,F,0,1,78,14.7,07,00,06,11,2009,ACESB,DTC,0,O,0,0,,
SAF,N,AP63295,WHINC,4,F,10,10,76,13.2,07,45,06,11,2009,ACESB,DTC,0,O,0,0,,
SAF,N,AP63330,WHINC,4,F,0,1,78,14.3,07,00,07,11,2009,ACESB,DTC,0,O,0,0,,
SAF,N,AP63333,WHINC,3,N,0,1,77,13.8,07,30,07,11,2009,ACESB,DTC,0,O,0,0,,
SAF,N,AP63334,WHINC,3,G,0,0,79,14.8,07,45,07,11,2009,ACESB,DTC,0,O,0,0,,
SAF,N,AP63335,WHINC,3,M,0,1,78,13.2,07,45,07,11,2009,ACESB,DTC,0,O,0,0,,
SAF,N,AP63416,WHINC,4,F,0,1,78,14,07,15,10,11,2009,ACESB,DTC,0,O,0,0,,
SAF,N,AP63466,WHINC,4,M,0,0,81,14.9,07,30,11,11,2009,ACESB,DTC,0,O,0,0,,
SAF,N,AP63467,WHINC,3,M,0,1,77,14.7,07,30,11,11,2009,ACESB,DTC,0,O,0,0,,
SAF,N,AP63493,WHINC,3,F,0,1,78,14.5,07,30,12,11,2009,ACESB,DTC,0,O,0,0,,
SAF,N,AP63506,WHINC,3,F,0,2,79,16,07,30,13,11,2009,ACESB,DTC,0,O,2,2,,
SAF,N,AP63551,WHINC,3,F,0,1,78,13.5,09,00,14,11,2009,ACESB,DTC,0,O,0,0,,
SAF,N,AP63595,WHINC,3,M,0,1,77,13.7,07,45,16,11,2009,ACESB,DTC,0,O,0,0,,
SAF,N,AP63596,WHINC,3,F,0,0,76,13.9,08,00,16,11,2009,ACESB,DTC,0,O,0,0,,
SAF,N,AP63662,WHINC,2,F,6,1,77,23.6,07,30,26,04,2010,ACESB,DTC,0,O,0,0,,
SAF,N,AP63663,WHINC,4,G,7,2,77,24.1,07,45,26,04,2010,ACESB,DTC,0,O,0,0,,
SAF,N,AP63664,WHINC,5,F,6,2,73,23.5,07,45,26,04,2010,ACESB,DTC,0,O,0,0,,
SAF,N,AP63666,WHINC,4,M,6,2,77,23.3,08,00,26,04,2010,ACESB,DTC,0,O,0,0,,
SAF,N,AP63674,WHINC,2,F,5,1,76,23.1,10,00,26,04,2010,ACESB,DTC,0,O,0,0,,
SAF,N,AP63677,WHINC,5,M,6,2,77,24.4,10,15,26,04,2010,ACESB,DTC,0,O,0,0,,
SAF,N,AP63678,WHINC,4,F,5,1,75,22.7,11,15,26,04,2010,ACESB,DTC,0,O,0,0,,
SAF,N,AP63679,WHINC,4,F,6,1,80,24.7,11,00,27,04,2010,ACESB,DTC,0,O,0,0,,
SAF,N,AP63696,WHINC,5,F,6,2,80,20.4,09,45,29,04,2010,ACESB,DTC,0,O,0,0,,
SAF,N,AP76136,WHINC,4,F,3,2,75,20.5,08,00,23,04,2011,ACESB,TEA,0,O,0,0,,
SAF,N,AP76140,WHINC,4,M,0,2,75,15.8,08,25,23,04,2011,ACESB,TEA,0,B,2,2,,
SAF,N,AP76148,WHINC,4,M,5,2,78,24,11,27,23,04,2011,ACESB,CJN,0,O,0,0,,
SAF,N,AP76149,WHINC,4,F,6,2,72,24.1,11,27,23,04,2011,ACESB,TEA,0,O,0,0,,
SAF,N,AP76161,WHINC,5,F,5,2,76,19.4,06,30,25,04,2011,ACESB,YBG,,O,0,0,,
SAF,N,AP76175,WHINC,4,M,6,2,80,23.4,10,30,26,04,2011,AGUES,TEA,,O,0,0,,
SAF,N,AP76638,WHINC,4,F,0,2,77,14.6,07,00,30,10,2011,ACESB,DTC,0,O,0,0,0,
SAF,N,AP76639,WHINC,3,N,0,2,77,14.3,07,00,30,10,2011,ACESB,DTC,0,J,0,0,0,
SAF,N,AP76675,WHINC,4,M,0,2,82,15,07,00,01,11,2011,ACESB,DTC,0,O,0,0,0,
